Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Apr 2022 09:00","Kreisklasse B",1,4,"SG Wartturm Schaafheim  02"," : ","SK 1980 Gernsheim  05"
"07 Jun 2022 09:00","Kreisklasse B",1,9,"SK 1980 Gernsheim  05"," : ",spielfrei
"26 Sep 2022 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim  05"," : ","SC Ladja Roßdorf  02"
"09 Okt 2022 09:00","Kreisklasse B",1,2,"SV Griesheim 1976  02"," : ","SK 1980 Gernsheim  05"
"06 Nov 2022 09:00","Kreisklasse B",1,3,"SK 1980 Gernsheim  05"," : ","Schachforum Darmstadt 1994  04"
"15 Jan 2023 09:00","Kreisklasse B",1,5,"SK 1980 Gernsheim  05"," : ","SC Groß-Umstadt  02"
"29 Jan 2023 09:00","Kreisklasse B",1,6,"SC FK Babenhausen 1994  03"," : ","SK 1980 Gernsheim  05"
"12 Feb 2023 09:00","Kreisklasse B",1,7,"SK 1980 Gernsheim  05"," : ","SC ""Turm"" Breuberg  03"
"19 Mär 2023 09:00","Kreisklasse B",1,8,"SC Springer Bad König  02"," : ","SK 1980 Gernsheim  05"
